financials.arpu_max,financials.arpu_min,financials.arr_max,financials.arr_min,financials.cac_max,financials.cac_min,financials.created_at,financials.gross_churn_max,financials.gross_churn_min,financials.id,financials.ltv_cac,financials.ltv_dollars,financials.ltv_months,financials.mrr_max,financials.mrr_min,financials.num_customers_max,financials.num_customers_min,financials.raised,financials.revenue_2016,financials.revenue_2017,financials.updated_at,id,industry,location,logo_url,name,num_employees,podcast.guest.advice,podcast.guest.age,podcast.guest.favorite_book_name,podcast.guest.favorite_book_url,podcast.guest.favorite_ceo_name,podcast.guest.favorite_ceo_url,podcast.guest.favorite_tool_name,podcast.guest.favorite_tool_url,podcast.guest.hours_sleep,podcast.guest.id,podcast.guest.kids,podcast.guest.married,podcast.guest.name,podcast.guest.url,podcast.id,podcast.url,private,sub_category,url,year_founded
5000.0,4000.0,100000000.0,,,,Tue Jul 24 2018 06:55:57 GMT+0000 (UTC),1.0,,RmluYW5jaWFsczo4NjY=,,400000.0,100.0,8333000.0,,10000.0,10000.0,583600000.0,50000000,99996000.0,Tue Jul 24 2018 00:00:00 GMT+0000 (UTC),Q29tcGFueTo0NTI=,Human Resources,"San Francisco, California",https://logo.clearbit.com/https://www.zenefits.com/,Zenefits,500.0,Go slower in order to go faster.,56.0,Hard Thing About Hard Things,,Marc Benioff,,Slack,,8,Rm91bmRlcjo0NDI=,4.0,Yes,Jay Fulcher,https://www.linkedin.com/in/jayfulcher/,UG9kY2FzdDo0NDI=,,False,Support,https://www.zenefits.com/,2013.0
50.0,50.0,780000.0,780000.0,70.0,60.0,Sat Jul 14 2018 10:01:42 GMT+0000 (UTC),3.0,2.0,RmluYW5jaWFsczo4NTQ=,41.67,2500.0,50.0,65000.0,65000.0,1300.0,1300.0,750000.0,120000,780000.0,Wed Nov 15 2017 00:00:00 GMT+0000 (UTC),Q29tcGFueTo0NDI=,Sales Automation,"San Francisco, California - India ",https://logo.clearbit.com/www.tagove.com,Tagove,23.0,Learn more about programming and computer science.,28.0,,,Elon Musk,,Salesforce,,6,Rm91bmRlcjo0MzI=,0.0,No,Laduram Vishnoi,https://www.linkedin.com/in/laduramvishnoi/,UG9kY2FzdDo0MzI=,,False,CRM,www.tagove.com,2016.0
83333.0,83333.0,1000000.0,1000000.0,,,Tue Feb 27 2018 14:25:49 GMT+0000 (UTC),,,RmluYW5jaWFsczo3MjU=,,,,83333.0,83333.0,1.0,1.0,0.0,1000000,,Thu Oct 20 2016 00:00:00 GMT+0000 (UTC),Q29tcGFueToxOQ==,Business Intelligence,San Francisco,http://comnplus.com/sites/default/files/comnplus_logo.png,ComnPlus,5.0,“Work with others and meet as many entrepreneurs as you can”,28.0,None,,,,,,No,Rm91bmRlcjoxOQ==,,,Karan Chaudhry,https://www.linkedin.com/in/shawnporat,UG9kY2FzdDoxOQ==,https://soundcloud.com/nathan-latka/ep-471-he-just-exited-now,False,Website Analytics,comnplus.com,2016.0
,16500.0,50000000.0,30000000.0,150000.0,150000.0,Mon Feb 19 2018 22:11:51 GMT+0000 (UTC),1.0,,RmluYW5jaWFsczo1NjA=,11.0,1650000.0,100.0,4166000.0,2500000.0,200.0,200.0,75000000.0,24000000,30000000.0,Thu Aug 03 2017 15:29:13 GMT+0000 (UTC),Q29tcGFueToyMDY=,Technical Solutions,NYC,https://logo.clearbit.com/https://www.collibra.com/,Collibra,210.0,It's good to not wait!,32.0,Chrossing the Chasm,http://amzn.to/2w2Ztm8,Tien Tzuo,https://www.linkedin.com/in/tientzuo/,Evernote,http://evernote.com,7,Rm91bmRlcjoyMDY=,1.0,Yes,Felix Van de Maele,https://www.linkedin.com/in/fvdmaele,UG9kY2FzdDoyMDY=,,False,Connecting Data Sources,https://www.collibra.com/,2008.0
2500.0,2500.0,1200000.0,1200000.0,3000.0,3000.0,Tue Nov 06 2018 12:14:54 GMT+0000 (UTC),0.0,0.0,RmluYW5jaWFsczoxMjYy,,,,100000.0,100000.0,40.0,40.0,1500000.0,1200000,1200000.0,Sun Aug 26 2018 00:00:00 GMT+0000 (UTC),Q29tcGFueTo1MjY=,Business Intelligence,"Sao Paulo, Brazil",https://logo.clearbit.com/http://www.intellibrand.ai,Intellibrand,6.0,Start a company faster,44.0,Amazon Store,,,,Excel,,6,Rm91bmRlcjo1MTY=,0.0,Yes,Chau Sanh,https://www.linkedin.com/in/chau-sanh-03a214/?originalSubdomain=br,UG9kY2FzdDo1MTY=,,False,Industry Data,http://www.intellibrand.ai,2013.0
2000.0,2000.0,6000000.0,1464000.0,,,Fri Feb 23 2018 16:56:34 GMT+0000 (UTC),,,RmluYW5jaWFsczo2MjI=,,,,500000.0,122000.0,61.0,61.0,2000000.0,900000,1464000.0,Mon Dec 11 2017 00:00:00 GMT+0000 (UTC),Q29tcGFueTozMTg=,Team Communication,"New York, NY",https://logo.clearbit.com/https://www.devhub.com/,DevHub,7.0,"If you know you are right and good looking, just go for it.",35.0,The Everything Store,,,,Outreach,,7,Rm91bmRlcjozMTI=,0.0,Yes,Mark Michael,https://www.linkedin.com/in/markmichaelseattle/,UG9kY2FzdDozMTI=,,False,Website Builders,https://www.devhub.com/,2007.0
350.0,350.0,4200000.0,4200000.0,4200.0,4200.0,Sun Jul 08 2018 10:15:48 GMT+0000 (UTC),2.0,1.0,RmluYW5jaWFsczo4NDg=,2.86,12000.0,34.0,350000.0,350000.0,1000.0,1000.0,1600000.0,2000000,4200000.0,Sat Mar 10 2018 00:00:00 GMT+0000 (UTC),Q29tcGFueTo0MzY=,Sales Automation,"Boston, Massachusetts",https://logo.clearbit.com/https://www.repsly.com/,Repsly,40.0,Get a MBA instead of engineering degree.,51.0,Moneyball,,Brian Halligan,,WordPress,,6,Rm91bmRlcjo0MjY=,3.0,Yes,Allen Bonde,https://www.linkedin.com/in/allenbonde/,UG9kY2FzdDo0MjY=,,False,CRM,https://www.repsly.com/,2008.0
19.0,19.0,40000000.0,30000000.0,228.0,228.0,Wed Aug 15 2018 14:30:57 GMT+0000 (UTC),1.0,,RmluYW5jaWFsczo4OTY=,8.33,1900.0,100.0,3333333.0,2500000.0,5000.0,5000.0,40000000.0,9996000,15000000.0,Tue May 08 2018 00:00:00 GMT+0000 (UTC),Q29tcGFueTo0NjI=,Technical Solutions,"San Francisco, California",https://logo.clearbit.com/https://about.gitlab.com/,GitLab,267.0,It will all be fine.,38.0,High output management,,Jeff Bezos,,Zoom,,8,Rm91bmRlcjo0NTI=,0.0,Yes,Sid Sijbrandij,https://www.linkedin.com/in/sijbrandij,UG9kY2FzdDo0NTI=,,False,Code Management,https://about.gitlab.com/,2012.0
4000.0,3300.0,4800000.0,4800000.0,6000.0,6000.0,Fri Nov 16 2018 10:00:30 GMT+0000 (UTC),,,RmluYW5jaWFsczoxMzA5,25.0,150000.0,36.0,400000.0,400000.0,240.0,240.0,5000000.0,4800000,4800000.0,Thu Sep 13 2018 00:00:00 GMT+0000 (UTC),Q29tcGFueTo1NDA=,Technical Solutions,"Birmingham, United Kingdom",https://logo.clearbit.com/https://site.voxpopme.com/,Voxpopme,50.0,Appreciate what you've got.,35.0,Hard thing about hard things,,Jason Lempkin,,Hubspot,,8,Rm91bmRlcjo1MzA=,3.0,Yes,Dave Carruthers,https://www.linkedin.com/in/davecarruthers/,UG9kY2FzdDo1MzA=,,False,Customer Feedback,https://site.voxpopme.com/,2013.0
,2777.0,10000000.0,1000000.0,,,Fri Feb 23 2018 18:28:04 GMT+0000 (UTC),1.0,,RmluYW5jaWFsczo2NjQ=,,277700.0,100.0,833333.0,83333.0,30.0,30.0,5000000.0,1000000,999996.0,Tue May 16 2017 00:00:00 GMT+0000 (UTC),Q29tcGFueToyOTE=,Technical Solutions,Israel,https://logo.clearbit.com/https://breezometer.com/,BreezoMeter,23.0,"Keep going, you’re doing well",34.0,Zero to One,,Elon Musk,,Slack,https://slack.com/,6,Rm91bmRlcjoyODU=,2.0,Yes,Ran Korber,https://www.linkedin.com/in/ran-korber-aa721a29/,UG9kY2FzdDoyODU=,,False,,https://breezometer.com/,2014.0
500.0,500.0,2400000.0,1800000.0,,,Fri Feb 23 2018 17:34:10 GMT+0000 (UTC),2.0,,RmluYW5jaWFsczo2NDU=,,25000.0,50.0,200000.0,150000.0,300.0,250.0,4000000.0,1000000,1800000.0,Wed Jan 17 2018 00:00:00 GMT+0000 (UTC),Q29tcGFueToyOTU=,Marketing Automation,Australia,https://logo.clearbit.com/https://www.getvero.com/,Vero,16.0,strat my own thing earlier.,30.0,The Outsiders: Eight Unconventional CEOs and Their Radically Rational Blueprint for Success,,"Cliff Obrecht,  Melanie Perkins",,Asana,https://asana.com/?&mkwid=sgihgMzXw&pcrid=219582361427&pkw=asana&pmt=e&pdv=c&utm_campaign=EU-Brand-Exact-GGL&utm_source=Google&utm_medium=pd_cpc_br&utm_term=Asana&opti_ca=637390445&opti_ag=32130499516&opti_ad=219582361427&opti_key=kwd-174466582&gclid=Cj0KCQiAh_DTBRCTARIsABlT9Mah35AQgwO3ml8ugXFDDfMw3oWE7l6s9h3bvu1kPX3CotIh6uFZlXAaAmXZEALw_wcB,7.5,Rm91bmRlcjoyODk=,0.0,No,Chris Hexton,https://www.linkedin.com/in/chexton/,UG9kY2FzdDoyODk=,,False,Email Marketing,https://www.getvero.com/,2012.0
140.0,140.0,15120000.0,15120000.0,1680.0,1120.0,Sat Dec 08 2018 12:09:18 GMT+0000 (UTC),1.0,,RmluYW5jaWFsczoxNDY4,4.5,5040.0,36.0,1260000.0,1260000.0,9000.0,9000.0,12000000.0,6000000,15120000.0,Thu Sep 20 2018 00:00:00 GMT+0000 (UTC),Q29tcGFueTo1NjQ=,Misc,Remote,https://logo.clearbit.com/https://www.helpscout.net/,Help Scout,80.0,Process is tough.,35.0,Maverick,,Sameer Dholakia,,Trello,,8,Rm91bmRlcjo1NTQ=,0.0,Yes,Nick Francis,https://www.linkedin.com/in/nickfrancis1/,UG9kY2FzdDo1NTQ=,,False,Customer Service,https://www.helpscout.net/,2011.0
15.0,9.0,,540000.0,1000.0,20.0,Thu Sep 13 2018 12:47:50 GMT+0000 (UTC),,,RmluYW5jaWFsczo5NDc=,,,,,45000.0,50.0,50.0,1600000.0,540000,540000.0,Sat Aug 25 2018 00:00:00 GMT+0000 (UTC),Q29tcGFueTo1MjQ=,Technical Solutions,"Houston, Texas",https://logo.clearbit.com/https://seeforge.com/,SEE Forge,9.0,"Relax, stay focused.",33.0,How to Win Friends and Influence People,,Peter Diamondis,,Asana,,8,Rm91bmRlcjo1MTQ=,1.0,Yes,James McDonough,https://www.linkedin.com/in/jamesgmcdonough/,UG9kY2FzdDo1MTQ=,,False,Mobile,https://seeforge.com/,2011.0
