CSDUID,CSD Name,Year,Indicator,Value
4804019,Youngstown,1998,Number of Businesses,27
4804020,Special Area No. 4,1998,Number of Businesses,32
4804021,Veteran,1998,Number of Businesses,37
4804022,Consort,1998,Number of Businesses,111
4805001,Vulcan County,1998,Number of Businesses,146
4805002,Carmangay,1998,Number of Businesses,21
4805004,Champion,1998,Number of Businesses,41
4805006,Vulcan,1998,Number of Businesses,163
4805011,Arrowwood,1998,Number of Businesses,27
4805012,Wheatland County,1998,Number of Businesses,293
4805018,Strathmore,1998,Number of Businesses,198
4805021,Standard,1998,Number of Businesses,46
4805026,Drumheller,1998,Number of Businesses,394
4805031,Starland County,1998,Number of Businesses,12
4805034,Delia,1998,Number of Businesses,19
4805036,Munson,1998,Number of Businesses,7
4805038,Morrin,1998,Number of Businesses,15
4805041,Kneehill County,1998,Number of Businesses,45
4805042,Carbon,1998,Number of Businesses,35
4805044,Acme,1998,Number of Businesses,69
4805046,Linden,1998,Number of Businesses,65
4805048,Three Hills,1998,Number of Businesses,196
4805049,Trochu,1998,Number of Businesses,97
4805802,Siksika 146,1998,Number of Businesses,30
4806001,Foothills No. 31,1998,Number of Businesses,1213
4806006,High River,1998,Number of Businesses,262
4806009,Turner Valley,1998,Number of Businesses,90
4806011,Black Diamond,1998,Number of Businesses,73
4806012,Okotoks,1998,Number of Businesses,35
4806014,Rocky View County,1998,Number of Businesses,1978
4806016,Calgary,1998,Number of Businesses,35281
4806017,Chestermere,1998,Number of Businesses,103
4806019,Cochrane,1998,Number of Businesses,14
4806021,Airdrie,1998,Number of Businesses,334
4806022,Irricana,1998,Number of Businesses,55
4806024,Beiseker,1998,Number of Businesses,74
4806026,Crossfield,1998,Number of Businesses,155
4806028,Mountain View County,1998,Number of Businesses,140
4806029,Carstairs,1998,Number of Businesses,144
4806031,Cremona,1998,Number of Businesses,44
4806032,Didsbury,1998,Number of Businesses,212
4806034,Olds,1998,Number of Businesses,371
4806036,Sundre,1998,Number of Businesses,286
4806803,Eden Valley 216,1998,Number of Businesses,31
4807001,Provost No. 52,1998,Number of Businesses,66
4807002,Provost,1998,Number of Businesses,284
4807004,Czar,1998,Number of Businesses,42
4807006,Hughenden,1998,Number of Businesses,33
4807008,Amisk,1998,Number of Businesses,17
4807011,Paintearth County No. 18,1998,Number of Businesses,24
4807012,Coronation,1998,Number of Businesses,129
4807014,Castor,1998,Number of Businesses,82
4807019,Stettler County No. 6,1998,Number of Businesses,99
4807021,Big Valley,1998,Number of Businesses,33
4807024,Botha,1998,Number of Businesses,15
4807026,Stettler,1998,Number of Businesses,518
4807031,Flagstaff County,1998,Number of Businesses,33
4807034,Galahad,1998,Number of Businesses,24
4807036,Forestburg,1998,Number of Businesses,76
4807038,Heisler,1998,Number of Businesses,23
4807039,Daysland,1998,Number of Businesses,78
4807041,Strome,1998,Number of Businesses,19
4807042,Killam,1998,Number of Businesses,116
4807044,Sedgewick,1998,Number of Businesses,115
4807046,Lougheed,1998,Number of Businesses,49
4807048,Hardisty,1998,Number of Businesses,93
4807049,Wainwright No. 61,1998,Number of Businesses,134
4807051,Chauvin,1998,Number of Businesses,62
4807052,Edgerton,1998,Number of Businesses,65
4807054,Wainwright,1998,Number of Businesses,322
4807056,Irma,1998,Number of Businesses,52
4808001,Red Deer County,1998,Number of Businesses,893
4808002,Elnora,1998,Number of Businesses,33
4808004,Delburne,1998,Number of Businesses,75
4808005,Jarvis Bay,1998,Number of Businesses,4
4808006,Bowden,1998,Number of Businesses,91
4808008,Innisfail,1998,Number of Businesses,308
4808009,Penhold,1998,Number of Businesses,68
4808011,Red Deer,1998,Number of Businesses,2807
4808012,Sylvan Lake,1998,Number of Businesses,205
4808013,Norglenwold,1998,Number of Businesses,13
4808022,Lacombe County,1998,Number of Businesses,619
4808023,Birchcliff,1998,Number of Businesses,4
4808024,Eckville,1998,Number of Businesses,152
4808025,Half Moon Bay,1998,Number of Businesses,3
4808026,Bentley,1998,Number of Businesses,112
4808029,Blackfalds,1998,Number of Businesses,121
4808031,Lacombe,1998,Number of Businesses,78
4808032,Clive,1998,Number of Businesses,49
4808034,Alix,1998,Number of Businesses,56
4808038,Ponoka County,1998,Number of Businesses,227
4808039,Ponoka,1998,Number of Businesses,249
4808044,Rimbey,1998,Number of Businesses,242
4808813,Montana 139,1998,Number of Businesses,8
4809002,Clearwater County,1998,Number of Businesses,859
4809015,Rocky Mountain House,1998,Number of Businesses,40
4810001,Camrose County,1998,Number of Businesses,256
4810002,Bashaw,1998,Number of Businesses,72
4810006,Edberg,1998,Number of Businesses,22
4810009,Bawlf,1998,Number of Businesses,33
4810011,Camrose,1998,Number of Businesses,656
4810012,Bittern Lake,1998,Number of Businesses,16
4810014,Hay Lakes,1998,Number of Businesses,35
4810016,Beaver County,1998,Number of Businesses,22
4810018,Tofield,1998,Number of Businesses,151
4810019,Ryley,1998,Number of Businesses,38
4810021,Holden,1998,Number of Businesses,32
4810022,Viking,1998,Number of Businesses,121
4810026,Minburn County No. 27,1998,Number of Businesses,168
4810028,Vegreville,1998,Number of Businesses,183
4810031,Innisfree,1998,Number of Businesses,28
4810034,Mannville,1998,Number of Businesses,68
4810036,Vermilion River County,1998,Number of Businesses,427
4810039,Lloydminster (Part),1998,Number of Businesses,697
4810041,Kitscoty,1998,Number of Businesses,58
4810042,Vermilion,1998,Number of Businesses,186
4810044,Marwayne,1998,Number of Businesses,61
4810048,Two Hills County No. 21,1998,Number of Businesses,51
4819006,Grande Prairie County No. 1,1998,Number of Businesses,474
4810051,Myrnam,1998,Number of Businesses,19
4810052,Two Hills,1998,Number of Businesses,71
4810056,Willingdon,1998,Number of Businesses,25
4810059,Andrew,1998,Number of Businesses,32
4810061,Mundare,1998,Number of Businesses,37
4810062,Chipman,1998,Number of Businesses,12
4810064,Lamont,1998,Number of Businesses,82
4810066,Bruderheim,1998,Number of Businesses,41
4811001,Wetaskiwin County No. 10,1998,Number of Businesses,383
4811002,Wetaskiwin,1998,Number of Businesses,428
4817076,Northern Lights County,1998,Number of Businesses,282
4811011,Millet,1998,Number of Businesses,148
4811012,Leduc County,1998,Number of Businesses,689
4811013,Beaumont,1998,Number of Businesses,208
4811016,Leduc,1998,Number of Businesses,567
4811018,Devon,1998,Number of Businesses,167
4811019,Calmar,1998,Number of Businesses,130
4811021,Thorsby,1998,Number of Businesses,101
4811024,Warburg,1998,Number of Businesses,71
4811026,Breton,1998,Number of Businesses,84
4811031,Drayton Valley,1998,Number of Businesses,283
4811032,Brazeau County,1998,Number of Businesses,514
4811034,Parkland County,1998,Number of Businesses,1019
4811045,Wabamun,1998,Number of Businesses,35
4811048,Stony Plain,1998,Number of Businesses,328
4811049,Spruce Grove,1998,Number of Businesses,469
4811052,Strathcona County,1998,Number of Businesses,2316
4811056,Fort Saskatchewan,1998,Number of Businesses,372
4811061,Edmonton,1998,Number of Businesses,26474
4811062,St. Albert,1998,Number of Businesses,1501
4811064,Gibbons,1998,Number of Businesses,100
4811065,Redwater,1998,Number of Businesses,118
4811066,Bon Accord,1998,Number of Businesses,56
4811068,Morinville,1998,Number of Businesses,152
4811069,Legal,1998,Number of Businesses,82
4811803,Louis Bull 138B,1998,Number of Businesses,60
4811804,Stony Plain 135,1998,Number of Businesses,17
4811805,Alexander 134,1998,Number of Businesses,3
4811806,Wabamun 133A,1998,Number of Businesses,54
4812002,Cold Lake,1998,Number of Businesses,70
4812004,Bonnyville No. 87,1998,Number of Businesses,484
4812009,Bonnyville,1998,Number of Businesses,297
4812012,Glendon,1998,Number of Businesses,36
4812014,St. Paul County No. 19,1998,Number of Businesses,491
4812016,Elk Point,1998,Number of Businesses,149
4812018,St. Paul,1998,Number of Businesses,36
4812022,Smoky Lake County,1998,Number of Businesses,53
4812024,Vilna,1998,Number of Businesses,25
4812029,Smoky Lake,1998,Number of Businesses,85
4815015,Bighorn No. 8,1998,Number of Businesses,341
4812802,Unipouheos 121,1998,Number of Businesses,11
4813061,Whispering Hills,1998,Number of Businesses,12
4812810,Cold Lake 149,1998,Number of Businesses,80
4812811,Kehewin 123,1998,Number of Businesses,38
4813001,Lac Ste. Anne County,1998,Number of Businesses,118
4813002,Mayerthorpe,1998,Number of Businesses,176
4817031,Opportunity No. 17,1998,Number of Businesses,183
4813014,Onoway,1998,Number of Businesses,138
4813019,Barrhead,1998,Number of Businesses,166
4813028,Westlock County,1998,Number of Businesses,132
4813029,Woodlands County,1998,Number of Businesses,755
4813030,Whitecourt,1998,Number of Businesses,236
4813031,Westlock,1998,Number of Businesses,416
4813032,Clyde,1998,Number of Businesses,32
4813036,Thorhild County No. 7,1998,Number of Businesses,16
4813044,Athabasca County,1998,Number of Businesses,360
4813046,Boyle,1998,Number of Businesses,104
4813048,Athabasca,1998,Number of Businesses,133
4813049,Island Lake,1998,Number of Businesses,5
4813055,South Baptiste,1998,Number of Businesses,2
4813057,West Baptiste,1998,Number of Businesses,2
4813811,Alexis 133,1998,Number of Businesses,10
4814003,Yellowhead County,1998,Number of Businesses,709
4814019,Hinton,1998,Number of Businesses,364
4814024,Edson,1998,Number of Businesses,297
4815007,Crowsnest Pass,1998,Number of Businesses,262
4815023,Canmore,1998,Number of Businesses,543
4815033,Jasper,1998,Number of Businesses,273
4815035,Banff,1998,Number of Businesses,531
4816037,Wood Buffalo,1998,Number of Businesses,1219
4816817,Janvier 194,1998,Number of Businesses,8
4816822,Gregoire Lake 176A,1998,Number of Businesses,27
4817021,High Prairie,1998,Number of Businesses,330
4817024,Swan Hills,1998,Number of Businesses,124
4817027,Big Lakes,1998,Number of Businesses,67
4817029,Slave Lake,1998,Number of Businesses,27
4817033,Lesser Slave River No.124,1998,Number of Businesses,615
4817039,Nampa,1998,Number of Businesses,55
4817825,Clear Hills 152C,1998,Number of Businesses,77
4817064,Hines Creek,1998,Number of Businesses,67
4817078,Manning,1998,Number of Businesses,177
4817093,High Level,1998,Number of Businesses,288
4817095,Mackenzie County,1998,Number of Businesses,285
4817097,Rainbow Lake,1998,Number of Businesses,78
4817819,Wabasca 166A,1998,Number of Businesses,12
4817831,Swan River 150E,1998,Number of Businesses,25
4817835,Fox Lake 162,1998,Number of Businesses,1
4817845,Hay Lake 209,1998,Number of Businesses,10
4817849,Upper Hay River 212,1998,Number of Businesses,1
4817856,Woodland Cree 226,1998,Number of Businesses,6
4818002,Fox Creek,1998,Number of Businesses,145
4818005,Grande Cache,1998,Number of Businesses,176
4818015,Greenview No. 16,1998,Number of Businesses,202
4818018,Valleyview,1998,Number of Businesses,260
4818816,Sturgeon Lake 154,1998,Number of Businesses,2
4818818,Sturgeon Lake 154A,1998,Number of Businesses,568
4819008,Hythe,1998,Number of Businesses,79
4819009,Beaverlodge,1998,Number of Businesses,213
4819011,Wembley,1998,Number of Businesses,95
4819012,Grande Prairie,1998,Number of Businesses,1813
4819014,Sexsmith,1998,Number of Businesses,158
4819038,Peace River,1998,Number of Businesses,231
4819041,Smoky River No. 130,1998,Number of Businesses,19
4819042,McLennan,1998,Number of Businesses,51
4819044,Donnelly,1998,Number of Businesses,19
4819046,Falher,1998,Number of Businesses,130
4819048,Girouxville,1998,Number of Businesses,83
4819049,Birch Hills County,1998,Number of Businesses,125
4819056,Rycroft,1998,Number of Businesses,56
4819058,Spirit River,1998,Number of Businesses,151
4819059,Saddle Hills County,1998,Number of Businesses,66
4819066,Fairview No. 136,1998,Number of Businesses,24
4819068,Fairview,1998,Number of Businesses,301
4819071,Peace No. 135,1998,Number of Businesses,13
4819072,Berwyn,1998,Number of Businesses,43
4819074,Grimshaw,1998,Number of Businesses,224
4801003,Cypress County,1999,Number of Businesses,468
4801006,Medicine Hat,1999,Number of Businesses,1918
4801008,Forty Mile County No. 8,1999,Number of Businesses,136
4801009,Foremost,1999,Number of Businesses,96
4801014,Bow Island,1999,Number of Businesses,171
4801018,Redcliff,1999,Number of Businesses,170
4802001,Warner County No. 5,1999,Number of Businesses,76
4802002,Coutts,1999,Number of Businesses,29
4802004,Milk River,1999,Number of Businesses,82
4802006,Warner,1999,Number of Businesses,50
4802008,Raymond,1999,Number of Businesses,109
4802009,Stirling,1999,Number of Businesses,31
4802011,Lethbridge County,1999,Number of Businesses,633
4802012,Lethbridge,1999,Number of Businesses,2611
4802013,Coalhurst,1999,Number of Businesses,47
4802014,Nobleford,1999,Number of Businesses,33
4802016,Barons,1999,Number of Businesses,22
4802018,Picture Butte,1999,Number of Businesses,166
4802019,Coaldale,1999,Number of Businesses,122
4802022,Taber,1999,Number of Businesses,628
4802023,Barnwell,1999,Number of Businesses,26
4802029,Vauxhall,1999,Number of Businesses,124
4802031,Newell County,1999,Number of Businesses,500
4813018,Barrhead County No. 11,1999,Number of Businesses,351
4802034,Brooks,1999,Number of Businesses,294
4802036,Duchess,1999,Number of Businesses,58
4802038,Rosemary,1999,Number of Businesses,17
4802039,Bassano,1999,Number of Businesses,91
4803001,Cardston County,1999,Number of Businesses,51
4803002,Magrath,1999,Number of Businesses,79
4812038,Improvement District No. 349,1999,Number of Businesses,111
4803004,Cardston,1999,Number of Businesses,196
4803006,Glenwood,1999,Number of Businesses,9
4810058,Lamont County,1999,Number of Businesses,8
4803011,Pincher Creek No. 9,1999,Number of Businesses,40
4803014,Pincher Creek,1999,Number of Businesses,297
4803016,Cowley,1999,Number of Businesses,19
4803018,Willow Creek No. 26,1999,Number of Businesses,3
4803019,Fort Macleod,1999,Number of Businesses,227
4803021,Granum,1999,Number of Businesses,28
4803022,Claresholm,1999,Number of Businesses,226
4803024,Stavely,1999,Number of Businesses,34
4803026,Nanton,1999,Number of Businesses,176
4803802,Blood 148,1999,Number of Businesses,20
4804001,Acadia No. 34,1999,Number of Businesses,21
4804004,Special Area No. 2,1999,Number of Businesses,53
4804006,Empress,1999,Number of Businesses,12
4804011,Hanna,1999,Number of Businesses,190
4804012,Special Area No. 3,1999,Number of Businesses,34
4804014,Oyen,1999,Number of Businesses,85
4804016,Cereal,1999,Number of Businesses,17
4804019,Youngstown,1999,Number of Businesses,23
4804020,Special Area No. 4,1999,Number of Businesses,32
4804021,Veteran,1999,Number of Businesses,37
4804022,Consort,1999,Number of Businesses,114
4805001,Vulcan County,1999,Number of Businesses,149
4805002,Carmangay,1999,Number of Businesses,21
4805004,Champion,1999,Number of Businesses,37
4805006,Vulcan,1999,Number of Businesses,159
4805011,Arrowwood,1999,Number of Businesses,30
4805012,Wheatland County,1999,Number of Businesses,299
4805018,Strathmore,1999,Number of Businesses,234
4805021,Standard,1999,Number of Businesses,47
4805026,Drumheller,1999,Number of Businesses,394
4805031,Starland County,1999,Number of Businesses,12
4805034,Delia,1999,Number of Businesses,19
4805036,Munson,1999,Number of Businesses,6
4805038,Morrin,1999,Number of Businesses,12
4805041,Kneehill County,1999,Number of Businesses,47
4805042,Carbon,1999,Number of Businesses,36
4805044,Acme,1999,Number of Businesses,67
4805046,Linden,1999,Number of Businesses,61
4805048,Three Hills,1999,Number of Businesses,197
4805049,Trochu,1999,Number of Businesses,102
4805802,Siksika 146,1999,Number of Businesses,18
4806001,Foothills No. 31,1999,Number of Businesses,1309
4806006,High River,1999,Number of Businesses,279
4806009,Turner Valley,1999,Number of Businesses,99
4806011,Black Diamond,1999,Number of Businesses,76
4806012,Okotoks,1999,Number of Businesses,31
4806014,Rocky View County,1999,Number of Businesses,2104
4806016,Calgary,1999,Number of Businesses,36932
4806017,Chestermere,1999,Number of Businesses,109
4806019,Cochrane,1999,Number of Businesses,11
4806021,Airdrie,1999,Number of Businesses,353
4806022,Irricana,1999,Number of Businesses,59
4806024,Beiseker,1999,Number of Businesses,74
4806026,Crossfield,1999,Number of Businesses,159
4806028,Mountain View County,1999,Number of Businesses,144
4806029,Carstairs,1999,Number of Businesses,145
4806031,Cremona,1999,Number of Businesses,45
4806032,Didsbury,1999,Number of Businesses,230
4806034,Olds,1999,Number of Businesses,377
4806036,Sundre,1999,Number of Businesses,309
4806803,Eden Valley 216,1999,Number of Businesses,28
4807001,Provost No. 52,1999,Number of Businesses,65
4807002,Provost,1999,Number of Businesses,283
4807004,Czar,1999,Number of Businesses,46
4807006,Hughenden,1999,Number of Businesses,38
4807008,Amisk,1999,Number of Businesses,18
4807011,Paintearth County No. 18,1999,Number of Businesses,27
4807012,Coronation,1999,Number of Businesses,141
4807014,Castor,1999,Number of Businesses,92
4807019,Stettler County No. 6,1999,Number of Businesses,103
4807021,Big Valley,1999,Number of Businesses,32
4807024,Botha,1999,Number of Businesses,14
4807026,Stettler,1999,Number of Businesses,542
4807031,Flagstaff County,1999,Number of Businesses,35
4807034,Galahad,1999,Number of Businesses,26
4807036,Forestburg,1999,Number of Businesses,77
4807038,Heisler,1999,Number of Businesses,22
4807039,Daysland,1999,Number of Businesses,81
4807041,Strome,1999,Number of Businesses,25
4807042,Killam,1999,Number of Businesses,121
4807044,Sedgewick,1999,Number of Businesses,111
4807046,Lougheed,1999,Number of Businesses,56
4807048,Hardisty,1999,Number of Businesses,96
4807049,Wainwright No. 61,1999,Number of Businesses,147
4807051,Chauvin,1999,Number of Businesses,60
4807052,Edgerton,1999,Number of Businesses,57
4807054,Wainwright,1999,Number of Businesses,322
4807056,Irma,1999,Number of Businesses,58
4808001,Red Deer County,1999,Number of Businesses,941
4808002,Elnora,1999,Number of Businesses,34
4808004,Delburne,1999,Number of Businesses,75
4808005,Jarvis Bay,1999,Number of Businesses,6
4808006,Bowden,1999,Number of Businesses,94
4808008,Innisfail,1999,Number of Businesses,317
4808009,Penhold,1999,Number of Businesses,68
4808011,Red Deer,1999,Number of Businesses,2914
4808012,Sylvan Lake,1999,Number of Businesses,239
4808013,Norglenwold,1999,Number of Businesses,11
4808022,Lacombe County,1999,Number of Businesses,85
4808023,Birchcliff,1999,Number of Businesses,3
4808024,Eckville,1999,Number of Businesses,151
4808025,Half Moon Bay,1999,Number of Businesses,1
4808026,Bentley,1999,Number of Businesses,124
4808029,Blackfalds,1999,Number of Businesses,130
4808031,Lacombe,1999,Number of Businesses,612
4808032,Clive,1999,Number of Businesses,51
4808034,Alix,1999,Number of Businesses,53
4808038,Ponoka County,1999,Number of Businesses,234
4808039,Ponoka,1999,Number of Businesses,269
4808044,Rimbey,1999,Number of Businesses,251
4808813,Montana 139,1999,Number of Businesses,7
4809002,Clearwater County,1999,Number of Businesses,954
4809015,Rocky Mountain House,1999,Number of Businesses,33
4810001,Camrose County,1999,Number of Businesses,253
4810002,Bashaw,1999,Number of Businesses,76
4810006,Edberg,1999,Number of Businesses,21
4810009,Bawlf,1999,Number of Businesses,36
4810011,Camrose,1999,Number of Businesses,668
4810012,Bittern Lake,1999,Number of Businesses,13
4810014,Hay Lakes,1999,Number of Businesses,33
4810016,Beaver County,1999,Number of Businesses,24
4810018,Tofield,1999,Number of Businesses,151
4810019,Ryley,1999,Number of Businesses,38
4810021,Holden,1999,Number of Businesses,25
4810022,Viking,1999,Number of Businesses,121
4810026,Minburn County No. 27,1999,Number of Businesses,179
4810028,Vegreville,1999,Number of Businesses,182
4810031,Innisfree,1999,Number of Businesses,24
4810034,Mannville,1999,Number of Businesses,57
4810036,Vermilion River County,1999,Number of Businesses,423
4810039,Lloydminster (Part),1999,Number of Businesses,719
4810041,Kitscoty,1999,Number of Businesses,55
4810042,Vermilion,1999,Number of Businesses,187
4810044,Marwayne,1999,Number of Businesses,60
4810048,Two Hills County No. 21,1999,Number of Businesses,54
4819006,Grande Prairie County No. 1,1999,Number of Businesses,524
4810051,Myrnam,1999,Number of Businesses,18
4810052,Two Hills,1999,Number of Businesses,77
4810056,Willingdon,1999,Number of Businesses,25
4810059,Andrew,1999,Number of Businesses,36
4810061,Mundare,1999,Number of Businesses,35
4810062,Chipman,1999,Number of Businesses,7
4810064,Lamont,1999,Number of Businesses,86
4810066,Bruderheim,1999,Number of Businesses,50
4811001,Wetaskiwin County No. 10,1999,Number of Businesses,412
4811002,Wetaskiwin,1999,Number of Businesses,440
4817076,Northern Lights County,1999,Number of Businesses,302
4811011,Millet,1999,Number of Businesses,162
4811012,Leduc County,1999,Number of Businesses,732
4811013,Beaumont,1999,Number of Businesses,208
4811016,Leduc,1999,Number of Businesses,589
4811018,Devon,1999,Number of Businesses,178
4811019,Calmar,1999,Number of Businesses,124
4811021,Thorsby,1999,Number of Businesses,111
4811024,Warburg,1999,Number of Businesses,80
4811026,Breton,1999,Number of Businesses,87
4811031,Drayton Valley,1999,Number of Businesses,293
4811032,Brazeau County,1999,Number of Businesses,520
4811034,Parkland County,1999,Number of Businesses,1030
4811045,Wabamun,1999,Number of Businesses,41
4811048,Stony Plain,1999,Number of Businesses,337
4811049,Spruce Grove,1999,Number of Businesses,480
4811052,Strathcona County,1999,Number of Businesses,2437
4811056,Fort Saskatchewan,1999,Number of Businesses,381
4811061,Edmonton,1999,Number of Businesses,27122
4811062,St. Albert,1999,Number of Businesses,1613
4811064,Gibbons,1999,Number of Businesses,100
4811065,Redwater,1999,Number of Businesses,130
4811066,Bon Accord,1999,Number of Businesses,53
4811068,Morinville,1999,Number of Businesses,161
4811069,Legal,1999,Number of Businesses,78
4811803,Louis Bull 138B,1999,Number of Businesses,58
4811804,Stony Plain 135,1999,Number of Businesses,20
4811805,Alexander 134,1999,Number of Businesses,4
4811806,Wabamun 133A,1999,Number of Businesses,52
4812002,Cold Lake,1999,Number of Businesses,74
4812004,Bonnyville No. 87,1999,Number of Businesses,451
4812009,Bonnyville,1999,Number of Businesses,295
4812012,Glendon,1999,Number of Businesses,45
4812014,St. Paul County No. 19,1999,Number of Businesses,512
4812016,Elk Point,1999,Number of Businesses,144
4812018,St. Paul,1999,Number of Businesses,33
4812022,Smoky Lake County,1999,Number of Businesses,55
4812024,Vilna,1999,Number of Businesses,23
4812029,Smoky Lake,1999,Number of Businesses,83
4815015,Bighorn No. 8,1999,Number of Businesses,351
4812802,Unipouheos 121,1999,Number of Businesses,12
4813061,Whispering Hills,1999,Number of Businesses,16
4812810,Cold Lake 149,1999,Number of Businesses,64
4812811,Kehewin 123,1999,Number of Businesses,29
4813001,Lac Ste. Anne County,1999,Number of Businesses,115
4813002,Mayerthorpe,1999,Number of Businesses,182
4817031,Opportunity No. 17,1999,Number of Businesses,182
4813014,Onoway,1999,Number of Businesses,147
4813019,Barrhead,1999,Number of Businesses,170
4813028,Westlock County,1999,Number of Businesses,134
4813029,Woodlands County,1999,Number of Businesses,799
4813030,Whitecourt,1999,Number of Businesses,244
4813031,Westlock,1999,Number of Businesses,410
4813032,Clyde,1999,Number of Businesses,39
4813036,Thorhild County No. 7,1999,Number of Businesses,17
4813044,Athabasca County,1999,Number of Businesses,351
4813046,Boyle,1999,Number of Businesses,106
4813048,Athabasca,1999,Number of Businesses,147
4813049,Island Lake,1999,Number of Businesses,3
4813051,Island Lake South,1999,Number of Businesses,1
4813055,South Baptiste,1999,Number of Businesses,1
4813057,West Baptiste,1999,Number of Businesses,3
4813811,Alexis 133,1999,Number of Businesses,10
4814003,Yellowhead County,1999,Number of Businesses,719
4814019,Hinton,1999,Number of Businesses,406
4814024,Edson,1999,Number of Businesses,303
4815007,Crowsnest Pass,1999,Number of Businesses,275
4815023,Canmore,1999,Number of Businesses,569
4815033,Jasper,1999,Number of Businesses,276
4815035,Banff,1999,Number of Businesses,544
4816037,Wood Buffalo,1999,Number of Businesses,1231
4816817,Janvier 194,1999,Number of Businesses,9
4816822,Gregoire Lake 176A,1999,Number of Businesses,30
4817021,High Prairie,1999,Number of Businesses,334
4817024,Swan Hills,1999,Number of Businesses,134
4817027,Big Lakes,1999,Number of Businesses,66
4817029,Slave Lake,1999,Number of Businesses,58
4817033,Lesser Slave River No.124,1999,Number of Businesses,611
4817039,Nampa,1999,Number of Businesses,53
4817825,Clear Hills 152C,1999,Number of Businesses,78
4817064,Hines Creek,1999,Number of Businesses,63
4817078,Manning,1999,Number of Businesses,186
4817093,High Level,1999,Number of Businesses,277
4817095,Mackenzie County,1999,Number of Businesses,282
4817097,Rainbow Lake,1999,Number of Businesses,76
4817819,Wabasca 166A,1999,Number of Businesses,11
4817831,Swan River 150E,1999,Number of Businesses,27
4817835,Fox Lake 162,1999,Number of Businesses,1
4817845,Hay Lake 209,1999,Number of Businesses,10
4817856,Woodland Cree 226,1999,Number of Businesses,6
4818002,Fox Creek,1999,Number of Businesses,146
4818005,Grande Cache,1999,Number of Businesses,178
4818015,Greenview No. 16,1999,Number of Businesses,212
4818018,Valleyview,1999,Number of Businesses,258
4818816,Sturgeon Lake 154,1999,Number of Businesses,2
4818818,Sturgeon Lake 154A,1999,Number of Businesses,608
4819008,Hythe,1999,Number of Businesses,76
4819009,Beaverlodge,1999,Number of Businesses,220
4819011,Wembley,1999,Number of Businesses,108
4819012,Grande Prairie,1999,Number of Businesses,1906
4819014,Sexsmith,1999,Number of Businesses,171
4819038,Peace River,1999,Number of Businesses,241
4819041,Smoky River No. 130,1999,Number of Businesses,20
4819042,McLennan,1999,Number of Businesses,50
4819044,Donnelly,1999,Number of Businesses,17
4819046,Falher,1999,Number of Businesses,136
4819048,Girouxville,1999,Number of Businesses,79
4819049,Birch Hills County,1999,Number of Businesses,131
4819056,Rycroft,1999,Number of Businesses,53
4819058,Spirit River,1999,Number of Businesses,155
4819059,Saddle Hills County,1999,Number of Businesses,72
4819066,Fairview No. 136,1999,Number of Businesses,23
4819068,Fairview,1999,Number of Businesses,298
4819071,Peace No. 135,1999,Number of Businesses,9
